[12/04/25, 11:57:31 AM] v anand salesman: ‎Messages and calls are end-to-end encrypted. Only people in this chat can read, listen to, or share them.
[12/04/25, 11:57:31 AM] v anand salesman: ‎‎‎v anand salesman uses a default timer for disappearing messages in new chats. ‎New messages will disappear from this chat ‎90 days after they're sent, except when kept. ‎Tap to set your own default timer.
‎[20/02/26, 5:20:53 PM] Bothra Sarees: ‎<attached: 00001716-PHOTO-2026-02-20-17-20-53.jpg>
[20/02/26, 5:22:30 PM] Bothra Sarees: ‎Voice call, ‎No answer
[20/02/26, 5:25:07 PM] Bothra Sarees: ganpati ka h
[20/02/26, 5:25:13 PM] Bothra Sarees: item acha h sir
[20/02/26, 5:29:53 PM] v anand salesman: Rate
[20/02/26, 5:31:56 PM] Bothra Sarees: ‎You deleted this message.
[20/02/26, 5:54:44 PM] Bothra Sarees: 388
‎[20/02/26, 5:56:18 PM] Bothra Sarees: ‎<attached: 00001723-PHOTO-2026-02-20-17-56-18.jpg>
[20/02/26, 5:56:18 PM] Bothra Sarees: 378
‎[20/02/26, 6:21:26 PM] Bothra Sarees: ‎<attached: 00001725-PHOTO-2026-02-20-18-21-26.jpg>
‎[20/02/26, 6:21:39 PM] Bothra Sarees: ‎<attached: 00001726-PHOTO-2026-02-20-18-21-39.jpg>
[25/02/26, 12:36:21 AM] Bothra Sarees: ..
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001728-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001729-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001730-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001731-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001732-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001733-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001734-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001735-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001736-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001737-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001738-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001739-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001740-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001741-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001742-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001743-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001744-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001745-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001746-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001747-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001748-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001749-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001750-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001751-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001752-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001753-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001754-PHOTO-2026-02-25-00-38-20.jpg>
